Artist Name,Artist Major,Project Title,Project Date,Project Genre,Project Description,Project Link,All Fields Filled,Date Validation,Link Validation,,Base URL,Last Update To Sheet
Martha Quire,Art Practices & Psychology,Rhythmic Rotation,2026-04-13,Cone 10 porcelaneous stoneware and overglaze,"This piece, “Rhythmic Rotation” was inspired by the orbit of 16 Psyche. Wheel thrown pottery also has an orbit as the piece is thrown on the wheel. With the white stripe I wanted the highlight the rotational quality of the piece. On either side, there’s a replica of the best model we have of Psyche placed with its orbital axis running vertically. These two halves of the asteroid are placed at the shoulder of the vase where ancient Greek amphoras have their handles. The glaze choice on the outside references the red, browns, and blacks color choices of ancient Greek vases while the inner dark blue glaze is a reference to the color of the night sky from Earth. The references to ancient Greece are a nod to the place where the story of the goddess Psyche originated.",https://psyche.ssl.berkeley.edu/gallery/rhythmic-rotation/,,,,,https://psyche.ssl.berkeley.edu/gallery/,4/13/2026
Isabella Garcia,Art & Design,The Soul of the Mission,2026-04-08,Digital Illustration,"This piece, “The Soul of the Mission,” is a digital illustration that describes the creation of the Psyche craft through the lens of those who are not shown at the forefront of the mission. The purpose of this project was to show those who were crucial to the mission but were not portrayed in the media. When speaking to NASA and JPL scientists, it was clear that every person who worked on the Psyche craft was important, and had a job that could not have been replaced. This piece displays five butterflies carrying the main components of the craft, including the magnetometer, gamma ray and neutron spectrometer, one of the solar panels, an imager, and the X-band high-gain antenna. These are some of the most important and/or visible parts of the craft, and therefore, I chose them as the main instruments to display. It was illustrated in a hatching form to convey a sense of active work and progression, as well as movement from the butterflies. The choice of butterflies was carefully considered because the goddess Psyche, the namesake of the mission, is represented by the butterfly. As she is the goddess of the soul, I also wanted to represent the fact that the scientists who were working on the mission are the souls of the Psyche mission.",https://psyche.ssl.berkeley.edu/gallery/the-soul-of-the-mission/,,,,,,
Jacquelyn Sublett,Ceramics & Physics,Space Exploration,2026-04-06,"High-Fire Stoneware, Copper Cobalt Raku Glaze","“Space Exploration” depicts the Psyche spacecraft on its journey toward the asteroid, reflecting humanity’s pursuit of deeper understanding within our solar system. The mission’s findings contribute to a broader knowledge of the diversity and composition of these asteroids. Amid the sea of iridescent glaze, you can find a small replica of the spacecraft and its solar panels. The Copper Cobalt Raku glaze moves organically across the vessel, producing radiant tones of copper red and orange alongside greens and blues. This dynamic surface evokes the shifting qualities of space while highlighting the intersection of scientific discovery and material exploration.",https://psyche.ssl.berkeley.edu/gallery/space-exploration/,,,,,,
Remy Cantrelle,Digital Art,The Three Magnetic Field Theories,2026-04-03,"Digital, 2D Animation","This project explores the mystery of asteroid 16 Psyche by turning three different magnetic field theories into abstract digital animations. Psyche is shown as a simple white silhouette, while particle effects represent the invisible forces around it. In one version, Psyche acts like a small magnetized planet, creating a structured shield against the solar wind. In another, a stronger magnetic field forms a bigger and more organized magnetosphere. The third version shows Psyche without its own magnetic field, but it still reacts to the solar wind because it’s made of conductive material. By animating these ideas in 2D, the project makes invisible space forces visible and shows how our understanding of Psyche changes depending on the scientific theory we use.",https://psyche.ssl.berkeley.edu/gallery/the-three-magnetic-field-theories/,,,,,,
Anne Wang,Economics and Art Theory & Practice,Xenon!,2026-04-01,Digital Art,"Xenon! This magical element that emits the familiar bright blue light we associate with spaceships. I took a lot of inspiration from mecha animes, and popular western sci-fi series like Star Trek and Star Wars. I really wanted to depict it in my own way, so I chose to draw a version of Psyche if she was a mecha pilot. Adding blue wings in the place of a jet pack, which was my original idea, tied it down to the original Psyche who was represented by a butterfly.",https://psyche.ssl.berkeley.edu/gallery/xenon/,,,,,,
Tommy Desjardins,3D Digital Design,Psyche Lander Mission,2026-03-30,HTML5 Game,"Psyche Lander Mission is a short playable experience that teaches visitors about the Psyche asteroid and the associated NASA mission. I built this game with Gamemaker studio, a platform for creating simple 2d games. The project was built for HTML5 meaning it can be played entirely on a browser.

The game can easily be edited to include different information about Psyche, or be expanded to show/explain other aspects of the mission. The simple UI design and controls were implemented to allow a wide audience to easily access the experience. Using only the arrow keys of a keyboard, players get to land on Psyche, move around the terrain, and investigate points of interest along its surface.

For future versions of the project I would love to add more accurate physics to the movement of the rover. That way players could experience the unique low gravity environment and imagine the difficulty of designing a rover that could exist in Psyche.",https://psyche.ssl.berkeley.edu/gallery/psyche-lander-mission/,,,,,,
Riley Perry,Communication Design & Environmental Biology,Join The Journey,2026-03-27,Kinetic Typographic Animation,"Join the Journey, Follow the Flyby is a kinetic typographic animation centered on NASA’s Psyche mission and its upcoming Mars flyby, planned for May 2026. The project aims to build excitement and public awareness around this milestone in Psyche’s journey, using motion design as a tool for science communication and engagement.

The 40-second animation follows a short-form media structure, delivering fast, digestible facts through typography and rhythm-driven transitions. Designed in a 1080 × 1920 vertical format, the piece is built for social platforms such as Instagram Stories, Reels, TikTok, and other trending digital spaces. By meeting audiences where they already consume content, this animation aims to spark curiosity both in viewers who are already following the Psyche mission and in those encountering it for the first time.

Sound plays a critical role in shaping the pacing and story of the piece. The background audio was sourced from a previous Psyche-inspired project, Journey to the Metal World by Rebecca Farmer. Sections of the original score were carefully recompiled and spliced to create a shorter, faster-paced track, allowing for a strong build and an energetic ending that mirrors the momentum of the flyby itself.

While typography remains the primary visual language, the animation also incorporates simplified shapes and vector-based imagery to support clarity and reinforce ideas. These elements work together to communicate information in a visually accessible, kinetic way. Through its combination of motion, sound, and concise copy, the piece provides quick context for the Psyche mission while placing special emphasis on the significance of the Mars flyby.

All information and images sourced from https://www.jpl.nasa.gov/press-kits/psyche/mission/",https://psyche.ssl.berkeley.edu/gallery/join-the-journey/,,,,,,
Lachan Morlan,Physics (Astronomy),Borrowed Gravity,2026-03-25,Stained Glass,"In May 2026, NASA’s Psyche spacecraft will fly past Mars, not to study it, and not to stay, but to use its gravity. This maneuver, called a gravity assist, allows the spacecraft to change its speed and direction without using additional fuel. For a brief moment, Mars becomes part of the spacecraft’s propulsion system, lending momentum to help Psyche continue its journey toward the metal-rich asteroid 16 Psyche.

Borrowed Gravity captures that fleeting encounter. The spacecraft is shown crossing the field of Mars, close enough to be transformed by its pull yet never captured by it. The red and gold glass represents the intense reflected sunlight of the Martian environment, contrasting the darker stillness of deep space beyond the flyby. The spacecraft passes through this warmth and energy only once, altering its trajectory for years to come.

Gravity assists are a reminder that space exploration is not always about destinations, but about relationships between worlds. Planets can guide, redirect, and accelerate spacecraft across the solar system. Mars becomes a turning point, not the goal, but the moment that makes the goal reachable.

This piece celebrates the idea that exploration is often shaped by encounters along the way. Psyche’s journey depends not only on advanced engineering, but on the natural forces of the solar system itself. For a brief instant, a planet and a spacecraft share motion, and that shared motion carries humanity farther than it could go alone.",https://psyche.ssl.berkeley.edu/gallery/borrowed-gravity/,,,,,,
Jacquelyn Sublett,Ceramics & Physics,Meteoroid,2026-03-23,"High-Fire Stoneware, White Crackle Raku Glaze","“Meteoroid” is a sculptural composition that visualizes the moment of impact between a ceramic vessel and a meteoroid in space. This work explores the violent history of collisions and material accumulation, processes central to planetary formation and investigated in the Psyche mission. The composition features a metallic, textured meteoroid-shaped base paired with a small vessel that appears deformed upon impact, its form altered by force and tension as it fuses into the surface. Raku-fired with a white crackle glaze, the vessel takes on an otherworldly quality, evoking the fractured, dynamic surfaces found in extraterrestrial environments.",https://psyche.ssl.berkeley.edu/gallery/meteoroid/,,,,,,
Abhigyaan Deep,Aerospace Engineering & Cyber-Physical Systems,The Making of Psyche,2026-03-20,Blender and Figma,"The Making of Psyche is a real simulation-inspired Blender rendering that explores transformation, creation, and identity through cosmic imagery. To the right of the artwork is a molten, asteroid-like object glowing with intense heat, suspended in the emptiness of space. Surrounding it is a bright, fiery trail that orbits the body, forming a ring of energy and motion.

The title references Psyche, the real asteroid in our solar system believed to be rich in metal and shaped by violent collisions. At the same time, it points toward the human psyche: the mind, the self, and the unseen forces that shape who we become. This piece blends both meanings, suggesting that creation is not clean or peaceful, but often forged through pressure, impact, and change.

The glowing ring resembles the path of the remains of the impacting object, a scar, implying that Psyche is in the middle of becoming something new. The asteroid appears to be shedding material or energy, as if it is being formed in real time, pulled apart and rebuilt by invisible gravitational forces. The contrast between the deep black background and the bright molten tones makes the object feel both isolated and powerful, like a fragment of a larger cosmic event.

Rather than showing a finished product, The Making of Psyche captures a moment of active formation, the in-between stage where something is neither destroyed nor complete. It invites viewers to reflect on the idea that both celestial bodies and people are shaped over time, and that becoming is often a process of burning, breaking, and reforming into something more substantial.",https://psyche.ssl.berkeley.edu/gallery/the-making-of-psyche/,,,,,,
Julia Stephens,Studio Art & Creative Writing,Impact,2026-03-18,Steel,"The creation of the Psyche asteroid as we know it is proposed to have been formed by a collision that stripped it to its metal core. This impact was the catalyst for the psyche mission, opening a realm for research and data that could influence the knowledge we have on Earth’s core.

“Impact” is a sculptural interpretation of the creation of Psyche both physically and mythically. I chose the word Impact as the title for this piece as it is a homonym that represents the process of psyche’s creation depicted in my work as well as highlights the potential impact on science that this asteroid could have.

Utilizing steel rods and scrap sheet metal, I created an interpretation of what I believe the birth of psyche could have been. The piece was welded to show movement with a scrap metal solid core in the shape of the Psyche asteroid as we know it now with varied strips of metal placed at the ends of rods curved around the spherical space of the body.",https://psyche.ssl.berkeley.edu/gallery/impact-3/,,,,,,
Emerson Pappas,Chemistry & Studio Art,The Journey,2026-03-16,Colored Pencils(Brand: Prismacolor) on Paper,"“The Journey” is a vibrant colored pencil on paper depiction of Psyche’s Mars flyby and its trek through space. For project III, I wanted to highlight the satellite’s travels out of Earth’s orbit and towards Mars for the upcoming gravity assist. Drawing on past inspiration of sci-fi classics like Star Trek and adding a retro flair, I wanted to create a “wish you were here” type of postcard. Almost as if the satellite Psyche is sending all of its supporters a message from afar. In the work itself I used waxed based pencil colors to achieve depth through layering the different pigments. The juxtaposition of large, blocky text and the cursive “post card” font continues my exploration of words and art in my projects. As for the color palette, what better inspiration is there than the Psyche logo? Similar to my past work, I love “upping” the saturation of natural images; here I dialed up the vibrance of Mars’ orange surface and balanced it with deep space blues and purples.",https://psyche.ssl.berkeley.edu/gallery/the-journey/,,,,,,
Abhigyaan Deep,Aerospace Engineering,Psyche Interactive,2026-03-03,"Typescript, GLSL, React","Psyche Interactive is a browser-based, landscape-first experience that documents NASA’s Psyche mission from launch to arrival at its target asteroid. Built in TypeScript with React for the 2D interface and Three.js/WebGL for 3D visualizations, it’s designed to give users both an educational and immersive journey through one of space exploration’s most ambitious missions.

The experience begins on Earth, centered on the launch site at Cape Canaveral, Florida. Users are introduced to the Falcon 9 rocket carrying Psyche, with sequential cards displaying real launch footage as the vehicle ascends into orbit. These cards visually trace the rocket’s trajectory, giving a sense of scale and motion while guiding the user through the early stages of the mission.

Once Psyche reaches space, the interactive component kicks in. Users can explore the spacecraft in detail by clicking on various components to learn how each one functions. A significant highlight is DSOC, the Deep Space Optical Communications experiment, which demonstrates high-speed laser-based communication. In a playful touch, DSOC streams a video of Taters the cat back to Earth at an unprecedented 33 MB/s, showing the cutting-edge capabilities of deep-space data transfer in a way that’s both accessible and entertaining.

After completing a gravity assist maneuver, users arrive at Psyche itself, an asteroid still largely mysterious to scientists. Current models only approximate its shape, leaving room for interpretation. Psyche Interactive allows users to become designers, drawing their own version of the asteroid on a canvas. The spacecraft can then orbit this user-created model, highlighting the open-ended nature of space exploration and the vast extent of the universe that remains uncharted.

By combining real footage, interactive exploration, and creative participation, Psyche Interactive turns a complex mission into a hands-on journey. It balances education, engagement, and imagination, letting users experience the thrill of deep-space exploration while learning about spacecraft technology, mission planning, and the unknowns that make space science so compelling.",https://psyche.ssl.berkeley.edu/gallery/psyche-interactive/,,,,,,
Isabella Garcia,Art & Design,Possibilities,2026-03-02,Digital Painting,"This project, “Possibilities,” is a digital painting made to depict different ideas as to what the Psyche asteroid may look like. Since we have not yet reached the asteroid and therefore do not have any pictures of it, we can only speculate what it may be. I chose to do this project because I also felt that it demonstrated the creative minds of scientists. When speaking to scientists and reading articles about the mission, it was interesting to see how the asteroid was described. While they were, of course, using technical terms, I was also inspired by how much beauty they found in wondering what the final destination may look like. I felt a connection to that imagination and wanted to portray that in my project. The four asteroids are illustrated in a “rough” or “sketchy” style for the purpose of demonstrating the fact that these are only ideas and not set in stone. From left to right, they show an asteroid with very little metal on the surface, one that is covered in large patches of metal, another that is solely covered in bedrock, and a fourth that is covered entirely with regolith (small grains of soil, not on Earth). While these are just speculations, I wanted to bring to life the most prominent ideas that scientists have regarding the image of the Psyche Asteroid.`",https://psyche.ssl.berkeley.edu/gallery/possibilities/,,,,,,
Brianna Blanchard,Environmental Public Health,Reflections of the Beginning,2026-02-25,Oil Painting on Canvas,"Reflections of the Beginning is an oil painting on a 20” by 16” stretched canvas. It invites viewers to contemplate how exploration and looking outward into space can also help humans look inward at our own origins. Diving deeper into the background, it is theorized that Psyche is a metal-rich asteroid and also the core of a protoplanet that might have been destroyed during the formation of the solar system. Considering this, studying it has the potential to help researchers better understand how planets form. This mission offers a rare opportunity to think more intentionally about Earth’s own core and how our planet might’ve come to be.

In terms of its composition, the piece depicts a calm and quiet shoreline just before the moment of sunrise, with the water being rather still. Hovering above the surface of the water is an ornate gold mirror, with its “reflection” not showing the worldly scene in front of it, but instead, revealing the Psyche asteroid in space through a portal. Aside from the mirror motif, water and a compass play symbolic roles. The water represents life and Earth itself, as I strongly associate it with our planet as being the foundation that makes life possible in the first place. As for the compass, it implies the direction of a hidden sun, which is an intentional reference to the Psyche spacecraft’s current position during solar conjunction (a moment where a solar system object is on the opposite side of the Sun from the Earth). Even across vast distances of hundreds of millions of miles, this subtle sense of shared direction connects Earth and our own perspective to the long, ongoing journey of the mission.

In the process of creating this piece, I wanted to challenge myself by transitioning from my usual acrylic paints to working with oils paints for the first time. I was drawn to oils because of their ability to blend smoothly and create rich colors, which felt especially fitting for a painting such as this one with a vibrant sunrise in the background. Although I completely fell in love with the softness and depth that this medium allows for, the slow-drying nature of it introduced me to a new kind of patience in my process. I was forced to sit with each layer before moving forward to the next, and I’m grateful that it helped me plan different sections more intentionally.

Overall, I hope this piece can blur the lines between science and introspection. In a way, by framing space exploration as both a technical pursuit and a philosophical one, Reflections of the Beginning is about humanity’s timeless drive to look beyond the horizon and question our own origins.",https://psyche.ssl.berkeley.edu/gallery/reflections-of-the-beginning-2/,,,,,,
Caitlin Richard,Biological Sciences & Art,Asteroid Ring(16 Psyche),2026-02-23,"Wearable Sculpture; .999 Fine Silver Metal Clay, Torch-Fired","Asteroid Ring (16 Psyche) is a wearable sculpture inspired by NASA’s Psyche mission and the eponymous asteroid it will study, believed to be composed largely of metal. This piece brings the material qualities of the distant asteroid 16 Psyche into physical proximity with the human body. The choice of a ring, an object associated with long-term commitment, mirrors the sustained dedication required by a multi-year planetary mission.

The ring was formed from .999 fine silver metal clay, shaped by hand to reference the irregular mass, voids, and surface complexity of an asteroid. After firing, the piece was refined through oxidation removal, burnishing, and hand polishing. The ring was worn by the artist for one week during daily tasks, allowing time, movement, and repeated contact to shape its surface and build a sense of attachment.",https://psyche.ssl.berkeley.edu/gallery/asteroid-ring-16-psyche/,,,,,,
Tommy Desjardins,3D Digital Design,Standing on Psyche - Interactive,2026-02-20,"Unreal Engine, Projections/Physical Room","Standing on Psyche invites visitors to step onto the surface of the distant metallic asteroid Psyche. Projected across a panoramic wall, visitors see the mission from an entirely new perspective. This interactive environment recreates Psyche’s rugged landscape and the orbiting spacecraft exploring it. The exhibit combines many working theories of what Psyche’s surface might look like. This artistic rendering of the asteroid shows a gravel-like regolith covering solid rocky ground. Craters from ancient impacts with other asteroids form steep valleys, and occasionally reveal bright patches of raw metal buried just beneath the rocky surface.

The immersive display uses Unreal Engine’s real-time rendering technology to simulate Psyche’s extreme environment. Low gravity, stark lighting, and the subtle glint of metal-rich terrain are simulated in a realistic game world.

The exhibit is also designed for interaction. Through their mobile devices, visitors can connect directly to the simulation, using their phone’s sensors to learn about Psyche in real time.

Standing on Psyche is part of NASA’s ongoing effort to inspire curiosity about our solar system and to share the excitement of exploring worlds beyond Earth. It showcases how modern visualization and interactive design can bring NASA’s missions closer to the public, transforming data and research into a tangible experience.",https://psyche.ssl.berkeley.edu/gallery/standing-on-psyche-interactive/,,,,,,
Remy Cantrelle,Digital Art,The Long Coast,2026-02-18,Digital Illustration,"The Long Coast is a digital illustration focused on a quiet yet meaningful phase of the Psyche mission as the spacecraft approaches Mars for its gravity assist. Rather than depicting launch or arrival, this piece centers on the long coasting period that occurs before Psyche’s closest approach to Mars, when motion slows and patience becomes essential. The illustration emphasizes stillness, scale, and anticipation, capturing a moment where progress happens without spectacle.

In the image, the Psyche spacecraft drifts through deep space as Mars fills much of the frame, glowing with warm reds and oranges. The planet’s presence feels close but not overwhelming, casting a soft reflected light across the spacecraft’s solar panels. Psyche itself is positioned off-center and partially cropped, reinforcing the sense that it is passing through rather than arriving. This compositional choice highlights movement through time rather than destination, aligning with the idea of coasting rather than thrusting.

The contrast between the cool blues of the solar arrays and the warmth of Mars creates a visual dialogue between technology and environment. Negative space surrounds the spacecraft, allowing the darkness of space to communicate distance, quiet, and isolation. A distant sun flare adds depth while remaining subtle, supporting the calm atmosphere rather than disrupting it.

Conceptually, the piece reflects the unseen work happening during this phase of the mission. Although Psyche is not actively maneuvering, its instruments remain active, calibrating and observing Mars as a well-understood reference point. This quiet preparation becomes the emotional core of the image. The Long Coast aims to honor moments of waiting and restraint, suggesting that exploration is not always defined by action, but often by stillness, trust, and careful observation.",https://psyche.ssl.berkeley.edu/gallery/the-long-coast-2/,,,,,,
Julia Stephens,Studio Art & Creative Writing,Essence,2026-02-16,"Acrylic Sheets, Ribbon, Wire, Vellum, Beads, Paper","Although we have taken data and distant observations to generate possible models, we don’t truly know what the Psyche asteroid looks like. We only have an “essence” of what to expect. With this art piece I wanted to highlight the beauty in this uncertainty and discovery to come. There is a definition in shapes and form within the sculpture, but the materiality is transparent, representing the idea of leaving room for interpretation of what may actually come to be true. I wanted to play with how the journey to Psyche is just as important and beautiful in shaping the way we will view the asteroid upon arrival. The form of Psyche at the top is made using translucent vellum and printed raw images from the Psyche Spacecraft cameras. I laser cut three acrylic discs that spiral upwards toward the asteroid motioned by the wire forms and beads. With the term “psyche” meaning soul I did not only want to allude to uncertainty of a final product, but also feeling “essence” as the hopeful feeling that comes with the mission that gives Psyche a further depth.",https://psyche.ssl.berkeley.edu/gallery/essence/,,,,,,
Samantha Manley,Illustration,Misison Psyche: Cartographer's Map,2026-02-11,Digital,"Just as ancient cartographers filled the uncharted edges of their seafaring maps with drawings of sea monsters and dragons, modern designers of vehicles traveling to other planets confront a legion of hazards, both imagined and real,” (How to Land on an Alien World, Lorenz). This one line inspired the idea behind my Psyche mission video game, a game that would combine fantasy cartographers with the science behind the Psyche mission. Aiming to combine STEM concepts with games to help educate a broader audience regarding NASA’s research. The game would have you play as a member of an astro-cartography team, whose recent mission is to map their journey to Psyche as well as the surface of the asteroid itself. Along the way, the player would learn about the mission through field studies as well as collectible research note pages.

For my second project, “Mission Psyche: Cartographer’s Map,” I created a map illustrating the general flight path of the Psyche spacecraft. I wanted this project to fully embrace the quote that inspired my project as a whole. Really making the map feel like the ones old explorers would use while sailing the seas. I wanted to maintain that vintage aesthetic throughout the piece despite changing the location in which these maps were commonly used. The spacecraft’s path itself I tried to keep fairly straightforward, while still maintaining truth, such as the Mars’ gravity assist.

During the creation of this project, I researched real maps used during the times of sea exploration and, from that, chose the aspects to include in my own map design. Aspects such as the decorated borders to the banners depicting names really inspired me and were aspects I knew I wanted to incorporate into my project.

Overall, my goal for this project series is to create a game concept that delivers information regarding the Psyche information through the lens of ancient cartographers. It would deal with themes of exploration and wonder, while still delivering STEM topics in a more easily consumable way.",https://psyche.ssl.berkeley.edu/gallery/mission-psyche-cartographers-map-2/,,,,,,
Martha Quirie,Art Practices & Psychology,Unraveled,2026-02-09,"Sculpey, Various Fabrics, Metal Wire, Fishing Line","The Spaces Between is a stained glass interpretation of the asteroid 16 Psyche, located within the main asteroid belt between Mars and Jupiter. Rather than depicting Psyche as a literal object in space, this work focuses on the often-overlooked elements that define it: distance, motion, orientation, and the space that holds them all.

The composition centers Psyche as a dark, metallic form suspended within layered fields of glass. Each solder line radiating across the panel represents measured heliocentric distance, expressed in astronomical units (AU). Where these lines intersect the asteroid, they mark Psyche’s position within the solar system, its relationship to the Sun and to neighboring planetary bodies. Distance, often reduced to numerical values, becomes a visible and structural element of the artwork.

Horizontal solder lines adjacent to the asteroid encode Psyche’s rotational direction. These lines reference the asteroid’s spin state and its extreme axial tilt of approximately 98 degrees, meaning Psyche rotates nearly on its side. This unusual orientation challenges conventional expectations of planetary motion and is translated here into a quiet but deliberate shift in visual balance. Psyche is not upright or aligned; it is a body defined by inclination and constant turning.

Historically used to divide and transmit light, the stained glass mirrors how scientific understanding is constructed through observation and interpretation. As light passes through the glass, the appearance of the piece changes with angle and time, echoing how Psyche itself is observed differently depending on perspective and position in space.

Rather than focusing on surface detail or speculative imagery, The Spaces Between emphasizes what surrounds Psyche and how it moves within that vastness. The work invites viewers to consider space not as emptiness, but as an active, defining presence, one that shapes celestial bodies as profoundly as mass or composition. Psyche, here, is understood through the distances it spans and the spaces that hold it.",https://psyche.ssl.berkeley.edu/gallery/unraveled-2/,,,,,,
Addison Mayhew,New Media Design,A Design For Discovery,2026-02-06,Vector Illustration in Adobe Illustrator,"“A Design for Discovery” is a digital vector illustration inspired by the Psyche mission and humanity’s enduring pursuit of knowledge. Rendered in a blueprint-based visual language, the piece frames space exploration not as distant science fiction, but as the result of deliberate human ingenuity, courage, and care. At its core, the work asks the viewer to consider how far intention and curiosity can carry us—and how something once thought unreachable can become tangible through planning, collaboration, and belief.

The blueprint aesthetic is central to the meaning of the piece. Blueprints represent the unseen labor behind discovery: the calculations, revisions, failures, and quiet moments of problem-solving that precede every monumental achievement. By presenting Psyche—a metal-rich asteroid believed to be the exposed core of a planetesimal—as a drafted, measured object, the illustration emphasizes that exploration is not accidental; it is engineered. Every line, label, and orbit is a testament to human persistence and our desire to understand the ancient structures that shaped our solar system.

The asteroid itself is treated as both a scientific subject and a symbolic “heart.” Psyche is billions of years old, a remnant from the earliest days of planetary formation, and exploring it represents an unprecedented step in planetary science. In this work, humanity’s spacecraft is shown carefully navigating this ancient body, reinforcing the idea that modern innovation is meeting primordial history. The contrast between precise human design and the raw, weathered surface of Psyche highlights the bravery required to approach the unknown with intention rather than fear.

Ultimately, “A Design for Discovery” aims to bridge the emotional gap between humanity and space exploration. By grounding the imagery in familiar design language—technical diagrams, measured annotations, and clean structural layouts—the piece reframes space as something achievable and human. Exploration becomes not an abstract concept reserved for experts, but a shared accomplishment made possible through curiosity, cooperation, and vision.

This project was created as a digital illustration using Adobe Illustrator, relying on vector linework, layered textures, and typographic structure to evoke the precision and clarity of engineering schematics. The clean geometry and controlled color palette reinforce the blueprint motif, while subtle surface detailing preserves the organic complexity of Psyche itself. This piece is both a celebration and a reminder: that humanity’s greatest achievements are built carefully, bravely, and with the belief that understanding the universe is not only possible—but worth pursuing.",https://psyche.ssl.berkeley.edu/gallery/a-design-for-discovery-2/,,,,,,
Lachan Morlan,Physics (Astronomy),The Spaces Between,2026-02-04,Stained Glass,"The Spaces Between is a stained glass interpretation of the asteroid 16 Psyche, located within the main asteroid belt between Mars and Jupiter. Rather than depicting Psyche as a literal object in space, this work focuses on the often-overlooked elements that define it: distance, motion, orientation, and the space that holds them all.

The composition centers Psyche as a dark, metallic form suspended within layered fields of glass. Each solder line radiating across the panel represents measured heliocentric distance, expressed in astronomical units (AU). Where these lines intersect the asteroid, they mark Psyche’s position within the solar system, its relationship to the Sun and to neighboring planetary bodies. Distance, often reduced to numerical values, becomes a visible and structural element of the artwork.

Horizontal solder lines adjacent to the asteroid encode Psyche’s rotational direction. These lines reference the asteroid’s spin state and its extreme axial tilt of approximately 98 degrees, meaning Psyche rotates nearly on its side. This unusual orientation challenges conventional expectations of planetary motion and is translated here into a quiet but deliberate shift in visual balance. Psyche is not upright or aligned; it is a body defined by inclination and constant turning.

Historically used to divide and transmit light, the stained glass mirrors how scientific understanding is constructed through observation and interpretation. As light passes through the glass, the appearance of the piece changes with angle and time, echoing how Psyche itself is observed differently depending on perspective and position in space.

Rather than focusing on surface detail or speculative imagery, The Spaces Between emphasizes what surrounds Psyche and how it moves within that vastness. The work invites viewers to consider space not as emptiness, but as an active, defining presence, one that shapes celestial bodies as profoundly as mass or composition. Psyche, here, is understood through the distances it spans and the spaces that hold it.",https://psyche.ssl.berkeley.edu/gallery/the-spaces-between-2/,,,,,,
